date,open,close,low,high,volume
2021-10-04,6000.0,5985.5,5928.5,6056.5,316733
2021-10-05,5980.0,6245.0,5976.0,6280.0,452859
2021-10-06,6289.0,6240.5,6162.0,6289.0,361807
2021-10-07,6260.0,6339.5,6215.5,6377.0,448224
2021-10-08,6350.0,6300.0,6280.5,6408.0,222219
2021-10-11,6325.0,6350.0,6272.5,6365.0,125990
2021-10-12,6320.5,6475.5,6320.5,6495.0,338575
2021-10-13,6493.5,6401.0,6285.0,6493.5,227784
2021-10-14,6416.5,6358.0,6342.0,6446.0,190432
2021-10-15,6351.0,6270.5,6218.5,6354.0,263257
2021-10-18,6270.5,6270.0,6196.0,6330.5,186317
2021-10-19,6283.5,6361.0,6271.0,6375.0,201858
2021-10-20,6361.5,6307.5,6244.0,6384.0,326153
2021-10-21,6296.5,6158.0,6144.5,6306.5,230631
2021-10-22,6158.0,6315.5,6142.0,6419.0,484596
2021-10-25,6315.5,6465.0,6283.5,6480.0,332004
2021-10-26,6469.0,6570.5,6414.5,6613.5,445636
2021-10-27,6576.0,6668.0,6507.5,6704.0,443054
2021-10-28,6668.0,6635.0,6551.5,6741.0,339972
2021-10-29,6620.0,6472.0,6435.5,6627.0,329854
2021-11-01,6525.0,6536.0,6430.0,6565.0,198933
2021-11-02,6560.0,6656.0,6504.5,6695.0,258314
2021-11-03,6664.0,6712.0,6570.5,6723.5,284831
2021-11-05,6704.0,6793.5,6623.0,6842.0,418629
2021-11-08,6800.0,6859.5,6791.5,6972.0,361755
2021-11-09,6879.0,6729.5,6680.0,7011.5,507561
2021-11-10,6731.0,6594.0,6583.0,6731.0,489836
2021-11-11,6619.5,6779.0,6470.0,6796.0,513348
2021-11-12,6795.0,6568.5,6492.0,6822.0,705851
2021-11-15,6592.5,6499.5,6443.5,6640.0,396313
2021-11-16,6500.0,6551.0,6460.5,6590.0,304396
2021-11-17,6557.0,6405.0,6315.5,6557.0,406453
2021-11-18,6405.0,5945.5,5938.0,6427.0,898765
2021-11-19,5945.5,6014.0,5796.5,6219.5,2353098
2021-11-22,6014.0,5789.5,5749.0,6100.0,900714
2021-11-23,5740.0,5917.0,5620.0,5919.0,742645
2021-11-24,5924.5,5875.0,5789.0,5973.0,535093
2021-11-25,5948.0,6056.0,5880.0,6081.5,434833
2021-11-26,5960.0,5775.5,5740.5,5973.5,544262
2021-11-29,5830.5,5898.5,5802.0,5914.0,425280
2021-11-30,5868.0,5733.0,5698.0,5978.0,588348
2021-12-01,5754.0,5768.0,5728.0,5889.0,432747
2021-12-02,5780.0,5789.0,5736.0,5824.0,267697
2021-12-03,5814.0,5715.5,5693.5,5823.5,207430
2021-12-06,5745.0,5650.0,5603.0,5794.0,356849
2021-12-07,5680.0,5841.5,5619.5,5850.0,318352
2021-12-08,5850.0,5765.0,5680.0,5907.0,301751
2021-12-09,5794.5,5908.0,5755.0,5949.5,375988
2021-12-10,5908.0,5822.5,5770.5,5958.0,249269
2021-12-13,5832.5,5637.0,5600.0,5892.5,364015
2021-12-14,5638.0,5670.0,5264.5,5731.5,414102
