date,open,close,low,high,volume
2021-10-04,2334.5,2332.5,2290.0,2347.5,513613
2021-10-05,2316.5,2346.0,2306.5,2359.0,362176
2021-10-06,2351.0,2388.5,2332.0,2395.0,606636
2021-10-07,2390.0,2426.0,2382.5,2446.0,468281
2021-10-08,2422.0,2416.5,2400.5,2449.5,282135
2021-10-11,2416.5,2423.5,2399.5,2442.5,214402
2021-10-12,2400.0,2407.5,2400.0,2428.5,152386
2021-10-13,2407.5,2459.5,2402.5,2463.5,345513
2021-10-14,2460.0,2430.5,2423.5,2469.0,280379
2021-10-15,2435.0,2377.0,2358.5,2439.0,594540
2021-10-18,2379.0,2349.0,2330.5,2379.0,339960
2021-10-19,2339.0,2380.0,2337.5,2387.5,339660
2021-10-20,2380.0,2385.0,2355.0,2390.0,190716
2021-10-21,2388.0,2362.0,2344.0,2388.0,253629
2021-10-22,2362.0,2388.5,2356.5,2411.0,398907
2021-10-25,2400.0,2470.0,2394.0,2477.0,948688
2021-10-26,2470.0,2443.0,2424.5,2492.5,711294
2021-10-27,2443.0,2474.0,2431.5,2494.0,574779
2021-10-28,2474.0,2423.5,2387.0,2483.0,851807
2021-10-29,2413.0,2409.0,2390.0,2420.0,235547
2021-11-01,2395.5,2422.5,2355.0,2438.5,542450
2021-11-02,2422.0,2410.0,2406.0,2447.0,244121
2021-11-03,2419.5,2420.0,2393.0,2434.0,352826
2021-11-05,2430.0,2390.0,2384.0,2430.0,338372
2021-11-08,2405.0,2417.0,2395.5,2445.0,336823
2021-11-09,2417.0,2455.5,2407.5,2474.5,625288
2021-11-10,2464.5,2442.5,2436.5,2470.0,235489
2021-11-11,2450.0,2430.5,2415.5,2462.5,355796
2021-11-12,2431.0,2401.0,2368.0,2456.0,668382
2021-11-15,2401.0,2390.0,2377.5,2407.0,328119
2021-11-16,2399.5,2362.5,2350.5,2407.0,387468
2021-11-17,2368.5,2344.5,2338.0,2369.5,294637
2021-11-18,2344.5,2291.0,2262.0,2349.0,887534
2021-11-19,2294.0,2249.0,2235.5,2310.5,907899
2021-11-22,2249.0,2205.5,2175.0,2249.0,798708
2021-11-23,2214.0,2195.0,2157.0,2219.5,712302
2021-11-24,2200.5,2176.0,2165.5,2228.5,514097
2021-11-25,2181.0,2180.0,2141.5,2199.5,595629
2021-11-26,2164.0,2088.0,2073.0,2175.5,911231
2021-11-29,2096.0,2060.0,2035.0,2116.0,778212
2021-11-30,2051.0,2073.0,2025.0,2106.0,831277
2021-12-01,2080.0,2116.0,2080.0,2149.5,676222
2021-12-02,2128.0,2131.0,2111.0,2152.0,280182
2021-12-03,2139.0,2085.0,2076.0,2143.5,646821
2021-12-06,2085.5,2082.5,2049.5,2121.0,436039
2021-12-07,2090.0,2091.5,2063.0,2109.5,409020
2021-12-08,2099.5,2101.5,2082.0,2139.0,598059
2021-12-09,2109.0,2133.5,2101.0,2135.0,342304
2021-12-10,2136.0,2098.0,2077.5,2136.0,311043
2021-12-13,2099.0,2037.5,2032.5,2118.5,407928
2021-12-14,2038.5,2057.0,1899.5,2067.0,780765
2021-12-15,2057.0,2082.0,2035.0,2115.0,741542
2021-12-16,2023.0,2011.0,2003.0,2053.5,786545
2021-12-17,2014.0,2031.0,1997.0,2031.5,337179
2021-12-20,2029.0,1972.5,1947.0,2029.5,481603
2021-12-21,1980.0,1970.0,1946.0,2007.5,475113
2021-12-22,1977.0,1989.0,1956.0,2001.5,417521
2021-12-23,1999.5,1930.0,1925.0,1999.5,466667
2021-12-24,1933.0,1946.0,1907.0,1949.0,246594
2021-12-27,1954.0,1947.0,1923.5,1956.0,376834
2021-12-28,1949.5,1926.0,1923.5,1954.0,480905
2021-12-29,1926.0,1924.0,1914.0,1949.5,300730
2021-12-30,1925.5,1959.5,1920.0,1965.5,652198
2022-01-03,1962.5,1994.0,1957.5,1996.5,250932
2022-01-04,1990.0,2019.0,1986.0,2037.0,416612
2022-01-05,2019.0,1966.5,1953.0,2049.5,386212
2022-01-06,1967.0,1991.5,1960.0,2027.0,385393
2022-01-10,2018.5,2010.0,1990.5,2022.0,281524
2022-01-11,2048.0,2001.5,1992.0,2048.0,309211
2022-01-12,2001.5,2011.5,1991.5,2025.5,436427
2022-01-13,2013.5,1923.5,1903.0,2018.0,720165
2022-01-14,1927.5,1885.0,1806.0,1942.5,908327
